period,MBBL,MBBL/D,year,month,quarter,dayofyear,weekofyear,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6,rolling_std_3,rolling_std_6,target
1983-04-01,126507,4217,1983,4,2,91,13,4189.0,4206.0,4164.0,4186.333333333333,4193.166666666667,21.12660250332174,23.659388552258683,4180.0
1983-05-01,129595,4180,1983,5,2,121,17,4217.0,4189.0,4206.0,4204.0,4195.833333333333,14.106735979667029,25.54538444938234,4167.0
1983-06-01,125002,4167,1983,6,2,152,22,4180.0,4217.0,4189.0,4195.333333333333,4187.833333333333,19.29594085120915,20.468675254318615,4152.0
1983-07-01,128699,4152,1983,7,3,182,26,4167.0,4180.0,4217.0,4188.0,4187.166666666667,25.942243542146276,21.179392499945664,4174.0
1983-08-01,129402,4174,1983,8,3,213,31,4152.0,4167.0,4180.0,4166.333333333333,4185.166666666667,14.011899704656765,24.161263763858788,4230.0
1983-09-01,126914,4230,1983,9,3,244,35,4174.0,4152.0,4167.0,4164.333333333333,4179.833333333333,11.239810200059404,22.08544015107593,4236.0
1983-10-01,131306,4236,1983,10,4,274,39,4230.0,4174.0,4152.0,4185.333333333333,4186.666666666667,40.21608301828224,30.30291515129779,4229.0
1983-11-01,126879,4229,1983,11,4,305,44,4236.0,4230.0,4174.0,4213.333333333333,4189.833333333333,34.195516275286465,34.77019796703417,4046.0
1983-12-01,125440,4046,1983,12,4,335,48,4229.0,4236.0,4230.0,4231.666666666667,4198.0,3.7859388972078296,37.635090009193064,4316.0
1984-01-01,133809,4316,1984,1,1,1,52,4046.0,4229.0,4236.0,4170.333333333333,4177.833333333333,107.73269389249191,73.19130185115412,4278.0
1984-02-01,124060,4278,1984,2,1,32,5,4316.0,4046.0,4229.0,4197.0,4205.166666666667,137.81509351301116,90.2494690658438,4317.0
1984-03-01,133825,4317,1984,3,1,61,9,4278.0,4316.0,4046.0,4213.333333333333,4222.5,146.15516868497454,93.01128963733372,4252.0
1984-04-01,127555,4252,1984,4,2,92,13,4317.0,4278.0,4316.0,4303.666666666667,4237.0,22.23360819420446,100.86426522807744,4310.0
1984-05-01,133605,4310,1984,5,2,122,18,4252.0,4317.0,4278.0,4282.333333333333,4239.666666666667,32.71594921950747,101.04388485537666,4297.0
1984-06-01,128904,4297,1984,6,2,153,22,4310.0,4252.0,4317.0,4293.0,4253.166666666667,35.679125549823375,104.67935167293791,4285.0
1984-07-01,132837,4285,1984,7,3,183,26,4297.0,4310.0,4252.0,4286.333333333333,4295.0,30.435724623103606,25.659306303949684,4271.0
1984-08-01,132399,4271,1984,8,3,214,31,4285.0,4297.0,4310.0,4297.333333333333,4289.833333333333,12.503332889010037,23.62555113995397,4296.0
1984-09-01,128890,4296,1984,9,3,245,35,4271.0,4285.0,4297.0,4284.333333333333,4288.666666666667,13.012814197297763,24.48400838642604,4263.0
1984-10-01,132161,4263,1984,10,4,275,40,4296.0,4271.0,4285.0,4284.0,4285.166666666667,12.529964086143982,20.855854493800585,4282.0
1984-11-01,128458,4282,1984,11,4,306,44,4263.0,4296.0,4271.0,4276.666666666667,4287.0,17.214335111568918,17.58408371226413,4329.0
1984-12-01,134185,4329,1984,12,4,336,48,4282.0,4263.0,4296.0,4280.333333333333,4282.333333333333,16.563010998408277,13.50061726983539,4243.0
1985-01-01,131543,4243,1985,1,1,1,1,4329.0,4282.0,4263.0,4291.333333333333,4287.666666666667,33.97548135543334,23.252240035458616,4274.0
1985-02-01,119662,4274,1985,2,1,32,5,4243.0,4329.0,4282.0,4284.666666666667,4280.666666666667,43.0619708482254,29.655803254448728,4321.0
1985-03-01,133939,4321,1985,3,1,60,9,4274.0,4243.0,4329.0,4282.0,4281.166666666667,43.554563480766056,29.485024447447422,4328.0
1985-04-01,129841,4328,1985,4,2,91,14,4321.0,4274.0,4243.0,4279.333333333333,4285.333333333333,39.27255190757819,33.49427811830828,4301.0
1985-05-01,133330,4301,1985,5,2,121,18,4328.0,4321.0,4274.0,4307.666666666667,4296.166666666667,29.365512652317634,35.28975299809593,4263.0
1985-06-01,127897,4263,1985,6,2,152,22,4301.0,4328.0,4321.0,4316.666666666667,4299.333333333333,14.011899704658996,34.61021043950227,4249.0
1985-07-01,131713,4249,1985,7,3,182,27,4263.0,4301.0,4328.0,4297.333333333333,4288.333333333333,32.65475973473723,33.77375707063995,4086.0
1985-08-01,126661,4086,1985,8,3,213,31,4249.0,4263.0,4301.0,4271.0,4289.333333333333,26.907248094148827,32.21593808453518,4171.0
1985-09-01,125138,4171,1985,9,3,244,35,4086.0,4249.0,4263.0,4199.333333333333,4258.0,98.39884823174194,89.89771965962132,4155.0
1985-10-01,128799,4155,1985,10,4,274,40,4171.0,4086.0,4249.0,4168.666666666667,4233.0,81.52504727587325,89.73070823302248,4194.0
1985-11-01,125817,4194,1985,11,4,305,44,4155.0,4171.0,4086.0,4137.333333333333,4204.166666666667,45.17004907384307,80.40999108734201,4275.0
1985-12-01,132526,4275,1985,12,4,335,48,4194.0,4155.0,4171.0,4173.333333333333,4186.333333333333,19.60442127004537,65.0343498980838,4314.0
1986-01-01,133735,4314,1986,1,1,1,1,4275.0,4194.0,4155.0,4208.0,4188.333333333333,61.212743771212175,67.98136999698075,4333.0
1986-02-01,121334,4333,1986,2,1,32,5,4314.0,4275.0,4194.0,4261.0,4199.166666666667,61.212743771212175,83.08409394502903,4280.0
